;Run;AssemblyName;bases;size_MB;LibraryLayout;BioSample;ScientificName;LibraryStrategy;LibrarySelection;LibrarySource;Sex;Analyte_Type;Histological_Type;Body_Site;Tissue;Dev
24009;SRR2182926;;1529408050;1016;SINGLE;SAMN04011581;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24010;SRR2182927;;1348716800;903;SINGLE;SAMN04011582;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24011;SRR2182954;;1139582200;755;SINGLE;SAMN04011585;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24012;SRR2182955;;1039683800;688;SINGLE;SAMN04011586;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24013;SRR2182879;;1713901850;1152;SINGLE;SAMN04011579;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24014;SRR2182909;;1961995800;1305;SINGLE;SAMN04011580;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24015;SRR2182928;;1051761800;694;SINGLE;SAMN04011583;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24016;SRR2182943;;1376065400;928;SINGLE;SAMN04011584;Harpegnathos_saltator;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;antennae;NA
24496;SRR578269;;3494230740;2249;PAIRED;SAMN01737289;Lasioglossum_albipes;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;whole body;NA
24528;SRR5007208;;15305518000;8857;PAIRED;SAMN06006824;Lasius_niger;RNA-Seq;RANDOM;TRANSCRIPTOMIC;female;;;;whole ant;queen
24529;SRR5007267;;17022574800;9874;PAIRED;SAMN06006825;Lasius_niger;RNA-Seq;RANDOM;TRANSCRIPTOMIC;female;;;;whole ant;worker
24530;SRR3141276;;7684495312;4371;PAIRED;SAMN04447949;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24531;SRR3141278;;7875530550;4473;PAIRED;SAMN04447950;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24532;SRR3141279;;6903044172;3937;PAIRED;SAMN04447951;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24533;SRR5193505;;4788597658;1565;PAIRED;SAMN06247191;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24534;SRR5193509;;4840501760;1661;PAIRED;SAMN06247191;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24535;SRR5193584;;3662542800;1204;PAIRED;SAMN06247192;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24536;SRR5193604;;3590320124;1237;PAIRED;SAMN06247192;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24537;SRR5193618;;4777365246;1579;PAIRED;SAMN06247193;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24538;SRR5193623;;4657915980;1615;PAIRED;SAMN06247193;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24539;SRR5193639;;4458162220;1474;PAIRED;SAMN06247194;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24540;SRR5193640;;4510351748;1562;PAIRED;SAMN06247194;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24541;SRR5193963;;4433531754;1462;PAIRED;SAMN06247195;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24542;SRR5193968;;4242039390;1466;PAIRED;SAMN06247195;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24543;SRR5193979;;4235419648;1395;PAIRED;SAMN06247196;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24544;SRR5193994;;4361831854;1506;PAIRED;SAMN06247196;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24545;SRR5194933;;5068102028;1742;PAIRED;SAMN06247202;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24546;SRR5194934;;5016200754;1683;PAIRED;SAMN06247202;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24547;SRR5194939;;5543244206;1908;PAIRED;SAMN06247203;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24548;SRR5194940;;5474385638;1835;PAIRED;SAMN06247203;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24549;SRR5194941;;5552313804;1909;PAIRED;SAMN06247204;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24550;SRR5194943;;5465999810;1833;PAIRED;SAMN06247204;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24551;SRR5194944;;5375721566;1837;PAIRED;SAMN06247205;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24552;SRR5194945;;5320071172;1771;PAIRED;SAMN06247205;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24553;SRR5194946;;5061750138;1748;PAIRED;SAMN06247206;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24554;SRR5194947;;4990355460;1681;PAIRED;SAMN06247206;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24555;SRR3141280;;6322250136;3638;PAIRED;SAMN04447957;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24556;SRR3141281;;4566041330;2602;PAIRED;SAMN04447958;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24557;SRR3141282;;4944748506;2823;PAIRED;SAMN04447959;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24558;SRR3141283;;5520793724;3149;PAIRED;SAMN04447960;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24559;SRR3141284;;6708259208;3847;PAIRED;SAMN04447961;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24560;DRR153006;;3256309000;1299;PAIRED;SAMD00106347;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24561;DRR153007;;2821606250;1101;PAIRED;SAMD00106348;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24562;DRR153008;;3195808000;1265;PAIRED;SAMD00106349;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24563;DRR153009;;3468961500;1347;PAIRED;SAMD00106350;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24564;DRR153010;;3945381000;1570;PAIRED;SAMD00106351;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24565;DRR153011;;3818150250;1539;PAIRED;SAMD00106352;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24566;DRR153012;;3260918750;1315;PAIRED;SAMD00106353;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24567;DRR153013;;2974642000;1182;PAIRED;SAMD00106354;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24568;DRR153014;;3158572000;1244;PAIRED;SAMD00106355;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24569;DRR153015;;3647536750;1460;PAIRED;SAMD00106356;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24570;DRR153016;;3953917250;1557;PAIRED;SAMD00106357;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24571;DRR153017;;3320057000;1319;PAIRED;SAMD00106358;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;NA;NA
24572;ERR1992765;;1622929613;693;SINGLE;SAMEA104098229;Lasius_niger;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
24578;SRR3141286;;5620648384;3189;PAIRED;SAMN04447952;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24579;SRR3141287;;5364584296;3065;PAIRED;SAMN04447953;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24580;SRR3141292;;6903893986;3964;PAIRED;SAMN04447954;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24581;SRR3141297;;7223969652;4111;PAIRED;SAMN04447955;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24582;SRR3141298;;5997829248;3408;PAIRED;SAMN04447956;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24583;SRR5194032;;4216468210;1385;PAIRED;SAMN06247185;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24584;SRR5194042;;4177067302;1437;PAIRED;SAMN06247185;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24585;SRR5194055;;4473846712;1472;PAIRED;SAMN06247186;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24586;SRR5194056;;4358935982;1502;PAIRED;SAMN06247186;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24587;SRR5194082;;4225714356;1390;PAIRED;SAMN06247187;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24588;SRR5194083;;4683044578;1613;PAIRED;SAMN06247187;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24589;SRR5194153;;4261160710;1401;PAIRED;SAMN06247188;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24590;SRR5194175;;4224418324;1455;PAIRED;SAMN06247188;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24591;SRR5194183;;4766649550;1583;PAIRED;SAMN06247189;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24592;SRR5194208;;4731399944;1646;PAIRED;SAMN06247189;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24593;SRR5194242;;4090914706;1337;PAIRED;SAMN06247190;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24594;SRR5194282;;3966159708;1359;PAIRED;SAMN06247190;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;NA
24595;SRR5194948;;5380533206;1841;PAIRED;SAMN06247197;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24596;SRR5194949;;5310224682;1769;PAIRED;SAMN06247197;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24597;SRR5194950;;6497206174;2227;PAIRED;SAMN06247198;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24598;SRR5194951;;6411510704;2141;PAIRED;SAMN06247198;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24599;SRR5195048;;5867971326;2038;PAIRED;SAMN06247199;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24600;SRR5195086;;5848613464;1984;PAIRED;SAMN06247199;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24601;SRR5195087;;5247312792;1821;PAIRED;SAMN06247200;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24602;SRR5195088;;5185391712;1756;PAIRED;SAMN06247200;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24603;SRR5195089;;5333093102;1871;PAIRED;SAMN06247201;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24604;SRR5195090;;5250492676;1799;PAIRED;SAMN06247201;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brains;NA
24605;SRR3141464;;6121073084;3493;PAIRED;SAMN04447962;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24606;SRR3141494;;6798829342;3868;PAIRED;SAMN04447963;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24607;SRR3141499;;7687992538;4387;PAIRED;SAMN04447964;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24608;SRR3141501;;3515955844;2002;PAIRED;SAMN04447965;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24609;SRR3141502;;4348991522;2476;PAIRED;SAMN04447966;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24624;SRR3136329;;2718742442;1596;PAIRED;SAMN04447923;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24625;SRR3138124;;2405059874;1388;PAIRED;SAMN04447923;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24626;SRR3138130;;3260732278;1968;PAIRED;SAMN04447924;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24627;SRR3136382;;3484402030;2091;PAIRED;SAMN04447924;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24628;SRR3136411;;3223950704;1941;PAIRED;SAMN04447925;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24629;SRR3138149;;3054485228;1849;PAIRED;SAMN04447925;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24630;SRR3138153;;4095876836;2481;PAIRED;SAMN04447926;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24631;SRR3136443;;4091227604;2464;PAIRED;SAMN04447926;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24632;SRR3136445;;3332127158;1959;PAIRED;SAMN04447927;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24633;SRR3138154;;2912223294;1683;PAIRED;SAMN04447927;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24634;SRR3138155;;3025083724;1743;PAIRED;SAMN04447928;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24635;SRR3136515;;3468132142;2033;PAIRED;SAMN04447928;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24636;SRR3138790;;2477985712;1499;PAIRED;SAMN04447947;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24637;SRR3141012;;2254421606;1151;PAIRED;SAMN04447947;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24638;SRR3141242;;5909220130;3372;PAIRED;SAMN04447947;Lasius_niger;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;female;;;;brain;adult
24639;SRR3141266;;4582391816;2617;PAIRED;SAMN04447948;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24640;SRR3141013;;1740159300;886;PAIRED;SAMN04447948;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24641;SRR3138959;;1806715674;1095;PAIRED;SAMN04447948;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24642;SRR3138962;;2224083630;1323;PAIRED;SAMN04447949;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24643;SRR3141014;;2064402024;1049;PAIRED;SAMN04447949;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24644;SRR3141015;;2535307858;1294;PAIRED;SAMN04447950;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24645;SRR3138963;;2372466770;1430;PAIRED;SAMN04447950;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24646;SRR3139002;;2225216648;1348;PAIRED;SAMN04447951;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24647;SRR3141017;;2292171164;1172;PAIRED;SAMN04447951;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24648;SRR3138284;;2395914324;1371;PAIRED;SAMN04447935;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24649;SRR3137012;;2652529064;1546;PAIRED;SAMN04447935;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24650;SRR3137013;;3335683368;2008;PAIRED;SAMN04447936;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24651;SRR3138398;;3286660594;1989;PAIRED;SAMN04447936;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24652;SRR3138419;;3054352312;1835;PAIRED;SAMN04447937;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24653;SRR3137014;;3188950972;1906;PAIRED;SAMN04447937;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24654;SRR3137133;;3273481912;1955;PAIRED;SAMN04447938;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24655;SRR3138448;;3089036116;1855;PAIRED;SAMN04447938;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24656;SRR3138460;;2286576168;1310;PAIRED;SAMN04447939;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24657;SRR3137613;;2587050360;1508;PAIRED;SAMN04447939;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24658;SRR3137614;;2991965824;1760;PAIRED;SAMN04447940;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24659;SRR3138461;;2691731810;1557;PAIRED;SAMN04447940;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24660;SRR3139045;;1996206420;1220;PAIRED;SAMN04447957;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24661;SRR3141058;;1605563266;827;PAIRED;SAMN04447957;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24662;SRR3141062;;1670413750;853;PAIRED;SAMN04447958;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24663;SRR3139010;;2034465826;1233;PAIRED;SAMN04447958;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24664;SRR3141069;;2073440514;1059;PAIRED;SAMN04447959;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24665;SRR3139046;;2202541340;1334;PAIRED;SAMN04447959;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24666;SRR3139047;;2030433098;1233;PAIRED;SAMN04447960;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24667;SRR3141074;;1823516418;933;PAIRED;SAMN04447960;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24668;SRR3141079;;2080387496;1072;PAIRED;SAMN04447961;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24669;SRR3139048;;2047223338;1253;PAIRED;SAMN04447961;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24670;SRR3138156;;2675676648;1544;PAIRED;SAMN04447929;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24671;SRR3136690;;3051401496;1791;PAIRED;SAMN04447929;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24672;SRR3136701;;3567405446;2162;PAIRED;SAMN04447930;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24673;SRR3138157;;3373566044;2057;PAIRED;SAMN04447930;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24674;SRR3138158;;2688273368;1630;PAIRED;SAMN04447931;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24675;SRR3136702;;2880648876;1736;PAIRED;SAMN04447931;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24676;SRR3136806;;3816583758;2298;PAIRED;SAMN04447932;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24677;SRR3138159;;3671039728;2222;PAIRED;SAMN04447932;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24678;SRR3138160;;2741731456;1579;PAIRED;SAMN04447933;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24679;SRR3136807;;3114881208;1825;PAIRED;SAMN04447933;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24680;SRR3136808;;2770338090;1638;PAIRED;SAMN04447934;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24681;SRR3138161;;2504604060;1456;PAIRED;SAMN04447934;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24682;SRR3141030;;2321935258;1184;PAIRED;SAMN04447952;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24683;SRR3139003;;2114411972;1274;PAIRED;SAMN04447952;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24684;SRR3139005;;2130745490;1290;PAIRED;SAMN04447953;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24685;SRR3141036;;1906876162;972;PAIRED;SAMN04447953;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24686;SRR3141041;;2243165560;1152;PAIRED;SAMN04447954;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24687;SRR3139007;;2142269792;1303;PAIRED;SAMN04447954;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24688;SRR3139008;;1910066550;1153;PAIRED;SAMN04447955;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24689;SRR3141045;;1205763654;612;PAIRED;SAMN04447955;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24690;SRR3141052;;1828531270;929;PAIRED;SAMN04447956;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24691;SRR3139009;;1817933340;1094;PAIRED;SAMN04447956;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24692;SRR3138490;;2657729554;1520;PAIRED;SAMN04447941;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24693;SRR3137620;;2977379000;1734;PAIRED;SAMN04447941;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24694;SRR3137621;;3543525410;2117;PAIRED;SAMN04447942;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24695;SRR3138496;;3488066916;2094;PAIRED;SAMN04447942;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24696;SRR3138497;;2961216980;1779;PAIRED;SAMN04447943;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24697;SRR3138096;;3096994310;1850;PAIRED;SAMN04447943;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24698;SRR3138097;;3699307406;2213;PAIRED;SAMN04447944;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24699;SRR3138499;;3555142228;2139;PAIRED;SAMN04447944;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24700;SRR3138502;;2592166212;1487;PAIRED;SAMN04447945;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24701;SRR3138109;;2912692136;1701;PAIRED;SAMN04447945;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24702;SRR3138111;;3059231016;1779;PAIRED;SAMN04447946;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24703;SRR3138503;;2742605106;1567;PAIRED;SAMN04447946;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;legs;adult
24704;SRR3139049;;2007496806;1217;PAIRED;SAMN04447962;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24705;SRR3141085;;1515614484;775;PAIRED;SAMN04447962;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24706;SRR3141097;;2302766670;1178;PAIRED;SAMN04447963;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24707;SRR3139050;;2160191030;1286;PAIRED;SAMN04447963;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24708;SRR3139051;;2184967340;1321;PAIRED;SAMN04447964;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24709;SRR3141107;;1848464832;937;PAIRED;SAMN04447964;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24710;SRR3141112;;1218036164;618;PAIRED;SAMN04447965;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24711;SRR3139052;;1800166026;1085;PAIRED;SAMN04447965;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
24712;SRR3139053;;2018059588;1219;PAIRED;SAMN04447966;Lasius_niger;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;adult
